player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Gilboa_Galil,A,2,2,Guni Israeli
Shakur Juiston,,16,4,50,0,100,8,1,9,1,1,0,1,3,1,0,15,7,1,2,0,0,2,2,Gilboa_Galil,A,2,2,Guni Israeli
Ahmed Hill,,13,5,100,0,100,2,0,2,1,2,0,3,1,0,0,4,9,2,2,0,2,1,1,Gilboa_Galil,A,2,2,Guni Israeli
Lennard Freeman,*,27,8,57,0,0,8,3,11,5,1,1,2,0,0,0,11,10,4,7,0,0,0,0,Gilboa_Galil,A,2,2,Guni Israeli
Yonathan Atias,,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Gilboa_Galil,A,2,2,Guni Israeli
Tomer Asayag,,17,10,100,50,75,2,0,2,3,2,1,3,3,0,0,10,-7,2,2,1,2,3,4,Gilboa_Galil,A,2,2,Guni Israeli
Lior Carreira,*,33,14,60,40,100,2,2,4,3,5,0,0,3,0,0,18,12,3,5,2,5,2,2,Gilboa_Galil,A,2,2,Guni Israeli
Shahar Amir,*,15,9,50,100,100,0,0,0,2,1,0,1,0,0,0,6,10,1,2,2,2,1,1,Gilboa_Galil,A,2,2,Guni Israeli
Marcus Carr,*,32,18,43,50,60,3,0,3,2,3,0,2,7,0,0,18,18,3,7,3,6,3,5,Gilboa_Galil,A,2,2,Guni Israeli
Ron Cohen,,10,4,40,0,0,0,0,0,1,3,0,1,1,0,0,2,3,2,5,0,1,0,0,Gilboa_Galil,A,2,2,Guni Israeli
Lucas Goldenberg,*,36,21,67,75,80,2,1,3,3,3,1,4,5,1,0,23,17,4,6,3,4,4,5,Gilboa_Galil,A,2,2,Guni Israeli
Total,,200,93,58,50,80,30,9,39,21,21,3,18,23,2,0,111,0,22,38,11,22,16,20,Gilboa_Galil,A,2,2,Guni Israeli
Team,,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel_Holon,H,3,3,Guni Israeli
Shakur Juiston,,14,0,0,0,0,1,2,3,4,0,0,2,0,1,0,-2,-3,0,0,0,0,0,0,Hapoel_Holon,H,3,3,Guni Israeli
Ahmed Hill,,16,8,50,50,0,1,0,1,1,0,0,0,3,0,0,8,-9,1,2,2,4,0,0,Hapoel_Holon,H,3,3,Guni Israeli
Lennard Freeman,*,30,7,33,0,75,6,0,6,1,4,2,1,1,0,1,11,3,2,6,0,1,3,4,Hapoel_Holon,H,3,3,Guni Israeli
Tomer Asayag,*,30,15,100,0,60,1,0,1,3,4,2,2,3,0,0,17,2,6,6,0,1,3,5,Hapoel_Holon,H,3,3,Guni Israeli
Lior Carreira,*,33,10,67,33,0,3,1,4,3,1,0,2,1,0,0,6,-1,2,3,2,6,0,0,Hapoel_Holon,H,3,3,Guni Israeli
Marcus Carr,*,35,17,33,38,67,3,1,4,3,5,1,3,6,0,2,13,-1,3,9,3,8,2,3,Hapoel_Holon,H,3,3,Guni Israeli
Ron Cohen,,10,4,100,0,0,0,0,0,1,0,1,2,0,0,0,1,-3,2,2,0,1,0,0,Hapoel_Holon,H,3,3,Guni Israeli
Lucas Goldenberg,*,32,6,67,0,100,5,3,8,2,4,3,4,2,0,0,13,-3,2,3,0,3,2,2,Hapoel_Holon,H,3,3,Guni Israeli
Total,,200,67,58,29,71,22,10,32,18,18,9,16,16,1,3,72,0,18,31,7,24,10,14,Hapoel_Holon,H,3,3,Guni Israeli
Team,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-2,0,0,0,0,0,0,0,Ness_Ziona,A,5,5,Guni Israeli
Shakur Juiston,,13,4,100,0,0,1,0,1,1,0,1,0,1,0,0,5,-8,2,2,0,1,0,0,Ness_Ziona,A,5,5,Guni Israeli
Lennard Freeman,*,24,14,71,0,67,6,1,7,1,3,0,1,0,1,0,19,5,5,7,0,0,4,6,Ness_Ziona,A,5,5,Guni Israeli
Rawle Alkins,,24,17,86,20,100,4,1,5,3,3,0,3,2,0,1,15,-9,6,7,1,5,2,2,Ness_Ziona,A,5,5,Guni Israeli
Tomer Asayag,*,31,6,0,50,0,2,0,2,3,0,0,0,4,1,1,6,8,0,1,2,4,0,0,Ness_Ziona,A,5,5,Guni Israeli
Lior Carreira,*,38,7,20,33,50,5,0,5,2,2,0,0,4,0,0,8,4,1,5,1,3,2,4,Ness_Ziona,A,5,5,Guni Israeli
Marcus Carr,*,35,18,17,60,78,2,0,2,1,7,1,0,7,0,1,24,3,1,6,3,5,7,9,Ness_Ziona,A,5,5,Guni Israeli
Ron Cohen,,5,2,100,0,0,0,0,0,1,0,1,0,0,0,0,2,-1,1,1,0,0,0,0,Ness_Ziona,A,5,5,Guni Israeli
Lucas Goldenberg,*,30,8,0,67,100,2,1,3,3,3,3,2,3,0,0,12,8,0,2,2,3,2,2,Ness_Ziona,A,5,5,Guni Israeli
Total,,200,76,52,43,74,22,3,25,15,18,6,8,21,2,3,89,0,16,31,9,21,17,23,Ness_Ziona,A,5,5,Guni Israeli
Team,,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hapoel_Jerusalem,A,9,9,Guni Israeli
Rawle Alkins,*,36,18,45,33,83,8,1,9,4,4,0,2,2,1,0,19,-1,5,11,1,3,5,6,Hapoel_Jerusalem,A,9,9,Guni Israeli
Yonathan Atias,,9,2,50,0,0,2,1,3,3,1,0,0,0,0,0,2,-3,1,2,0,0,0,0,Hapoel_Jerusalem,A,9,9,Guni Israeli
Tomer Asayag,,30,0,0,0,0,3,0,3,2,2,0,3,4,0,0,1,-6,0,2,0,1,0,0,Hapoel_Jerusalem,A,9,9,Guni Israeli
Lior Carreira,*,41,25,78,50,100,13,1,14,2,2,0,3,5,0,0,36,1,7,9,3,6,2,2,Hapoel_Jerusalem,A,9,9,Guni Israeli
Shahar Amir,*,29,7,67,25,0,2,1,3,5,1,0,1,2,0,1,1,3,2,3,1,4,0,1,Hapoel_Jerusalem,A,9,9,Guni Israeli
Marcus Carr,*,39,15,38,17,75,3,0,3,2,6,0,4,8,0,0,14,-1,3,8,1,6,6,8,Hapoel_Jerusalem,A,9,9,Guni Israeli
Ron Cohen,,6,0,0,0,0,0,0,0,4,1,1,0,0,0,0,-3,-7,0,1,0,0,0,0,Hapoel_Jerusalem,A,9,9,Guni Israeli
Lucas Goldenberg,*,35,13,71,50,0,6,1,7,4,1,3,4,1,0,0,14,-6,5,7,1,2,0,0,Hapoel_Jerusalem,A,9,9,Guni Israeli
Total,,225,80,53,32,76,37,6,43,26,18,4,18,22,1,1,84,0,23,43,7,22,13,17,Hapoel_Jerusalem,A,9,9,Guni Israeli
Team,,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Shakur Juiston,,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Lennard Freeman,*,31,14,50,0,100,9,2,11,4,7,1,3,1,0,0,23,-12,4,8,0,0,6,6,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Rawle Alkins,,26,15,50,43,100,6,1,7,2,2,1,2,2,0,0,17,-5,2,4,3,7,2,2,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Tomer Asayag,*,32,9,60,25,0,3,0,3,3,1,0,2,7,0,0,10,-10,3,5,1,4,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Lior Carreira,*,35,6,20,0,80,3,2,5,3,3,0,2,1,0,0,1,-17,1,5,0,4,4,5,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Marcus Carr,*,35,12,60,17,0,2,3,5,1,0,0,1,2,0,0,5,-13,3,5,2,12,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Ron Cohen,,10,0,0,0,0,4,1,5,1,1,0,0,1,0,0,4,2,0,1,0,1,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Lucas Goldenberg,*,25,4,100,0,0,0,0,0,5,2,3,3,1,0,0,0,-13,2,2,0,2,0,0,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Total,,200,60,50,20,92,27,12,39,19,17,5,14,15,0,0,63,0,15,30,6,30,12,13,Maccabi_Tel-Aviv,A,7,6,Guni Israeli
Team,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Shakur Juiston,,4,0,0,0,0,1,0,1,2,0,0,1,0,0,0,-2,3,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Lennard Freeman,*,26,11,80,0,75,4,2,6,3,4,3,2,0,1,0,18,-9,4,5,0,0,3,4,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Rawle Alkins,,27,30,100,86,80,2,0,2,1,4,0,3,2,1,0,33,-16,4,4,6,7,4,5,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Yonathan Atias,,1,2,100,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Tomer Asayag,*,27,8,75,0,100,2,0,2,5,2,1,3,2,1,0,4,-12,3,4,0,3,2,2,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Lior Carreira,*,33,2,33,0,0,9,0,9,3,1,0,2,2,0,0,5,-18,1,3,0,2,0,0,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Marcus Carr,*,35,15,20,38,100,3,0,3,3,3,0,3,6,0,0,12,-10,1,5,3,8,4,4,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Ron Cohen,,9,2,33,0,0,1,0,1,0,0,0,1,0,0,0,0,-1,1,3,0,0,0,0,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Lucas Goldenberg,*,37,10,75,100,25,2,0,2,1,3,0,2,3,0,0,11,-17,3,4,1,1,1,4,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Total,,200,80,62,48,70,25,2,27,18,18,4,18,15,3,0,83,0,18,29,10,21,14,20,Maccabi_Ramat_Gan,H,6,7,Guni Israeli
Team,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bnei_Herzliya,H,1,1,Guni Israeli
Shakur Juiston,,22,9,75,100,0,3,3,6,4,0,2,1,1,1,0,13,3,3,4,1,1,0,0,Bnei_Herzliya,H,1,1,Guni Israeli
Ahmed Hill,*,20,4,33,0,100,0,1,1,2,1,0,2,0,0,1,-4,-7,1,3,0,3,2,2,Bnei_Herzliya,H,1,1,Guni Israeli
Lennard Freeman,*,22,17,73,0,50,6,5,11,1,1,1,2,1,1,0,25,-9,8,11,0,0,1,2,Bnei_Herzliya,H,1,1,Guni Israeli
Tomer Asayag,,6,3,100,0,50,1,0,1,0,1,0,5,0,0,0,-2,-3,1,1,0,1,1,2,Bnei_Herzliya,H,1,1,Guni Israeli
Lior Carreira,*,34,9,67,14,100,4,1,5,3,2,2,1,4,1,0,12,-3,2,3,1,7,2,2,Bnei_Herzliya,H,1,1,Guni Israeli
Shahar Amir,,25,6,0,33,0,3,2,5,4,0,0,2,2,1,1,2,-7,0,1,2,6,0,0,Bnei_Herzliya,H,1,1,Guni Israeli
Marcus Carr,*,34,19,50,40,100,4,0,4,2,7,3,3,8,0,2,27,-4,4,8,2,5,5,5,Bnei_Herzliya,H,1,1,Guni Israeli
Ron Cohen,,8,1,0,0,50,1,0,1,4,2,0,1,1,0,0,-2,-1,0,1,0,0,1,2,Bnei_Herzliya,H,1,1,Guni Israeli
Lucas Goldenberg,*,29,19,50,50,100,2,0,2,3,3,2,2,3,0,0,18,1,3,6,3,6,4,4,Bnei_Herzliya,H,1,1,Guni Israeli
Total,,200,87,58,31,84,25,12,37,23,17,10,19,20,4,4,90,0,22,38,9,29,16,19,Bnei_Herzliya,H,1,1,Guni Israeli
Team,,0,0,0,0,0,1,7,8,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,12,12,Guni Israeli
Rawle Alkins,*,34,17,46,20,40,4,2,6,2,4,4,2,4,2,1,18,-16,6,13,1,5,2,5,Hapoel_Tel-Aviv,H,12,12,Guni Israeli
