player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Marcus Bingham Jr.,,19,15,62,0,83,2,4,6,1,5,1,0,1,0,1,22,6,5,8,0,0,5,6,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Guy Palatin,,13,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,-9,0,0,0,1,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Bar Timor,,22,9,40,50,100,2,2,4,3,2,0,1,3,0,0,10,-10,2,5,1,2,2,2,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Oz Blayzer,,11,0,0,0,0,1,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Marcus Foster,*,26,9,14,50,100,0,0,0,3,3,0,3,1,0,0,-1,-11,1,7,2,4,1,1,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Patrick Beverley,*,7,7,50,50,0,1,0,1,1,1,0,0,2,0,0,7,-2,2,4,1,2,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Ish Wainright,*,33,10,40,100,0,1,1,2,4,0,2,1,1,1,0,8,-18,2,5,2,2,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Yam Madar,*,31,16,55,33,50,2,0,2,2,4,0,4,8,0,0,16,-18,6,11,1,3,1,2,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Noam Yaacov,,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2,-1,0,2,0,1,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Tomer Ginat,,17,11,83,0,50,3,0,3,1,2,0,0,1,0,0,13,-9,5,6,0,1,1,2,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Bruno Caboclo,*,16,2,100,0,0,3,0,3,2,1,0,1,1,0,0,4,-19,1,1,0,0,0,0,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Total,,200,79,49,44,77,19,9,28,21,21,4,11,19,2,1,83,0,24,49,7,16,10,13,Maccabi_Tel-Aviv,A,9,8,Dimitris Itoudis
Team,,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Johnathan Motley,*,26,14,43,100,62,3,2,5,2,6,1,3,4,0,1,17,17,3,7,1,1,5,8,Bnei_Herzliya,H,3,2,Stefanos Dedas
Miron Ruina,,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Guy Palatin,,8,0,0,0,0,1,2,3,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Bar Timor,*,28,7,67,33,0,3,1,4,1,3,1,4,8,0,0,14,14,2,3,1,3,0,1,Bnei_Herzliya,H,3,2,Stefanos Dedas
Oz Blayzer,,11,6,100,0,100,0,1,1,1,2,0,0,0,0,0,6,-4,2,2,0,2,2,2,Bnei_Herzliya,H,3,2,Stefanos Dedas
Marcus Foster,*,31,13,60,25,100,5,0,5,2,1,1,3,2,2,0,14,20,3,5,1,4,4,4,Bnei_Herzliya,H,3,2,Stefanos Dedas
Ish Wainright,*,27,19,100,71,0,3,1,4,4,1,0,2,3,0,0,19,24,2,2,5,7,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Yonatan Rabinowitz,,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-6,0,0,0,0,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Noam Yaacov,,20,7,60,0,50,3,1,4,3,2,0,2,5,0,0,6,0,3,5,0,4,1,2,Bnei_Herzliya,H,3,2,Stefanos Dedas
Tomer Ginat,*,25,19,75,50,33,10,2,12,2,3,1,2,2,0,0,27,26,6,8,2,4,1,3,Bnei_Herzliya,H,3,2,Stefanos Dedas
Bruno Caboclo,,17,12,60,100,0,1,1,2,1,1,1,1,1,0,0,13,-4,3,5,2,2,0,0,Bnei_Herzliya,H,3,2,Stefanos Dedas
Total,,200,97,65,44,65,32,12,44,19,19,5,19,26,2,1,119,0,24,37,12,27,13,20,Bnei_Herzliya,H,3,2,Stefanos Dedas
Team,,0,0,0,0,0,1,3,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,Gilboa_Galil,A,8,7,Dimitris Itoudis
Marcus Bingham Jr.,,18,10,60,50,100,4,0,4,2,3,0,2,0,0,0,10,3,3,5,1,2,1,1,Gilboa_Galil,A,8,7,Dimitris Itoudis
Guy Palatin,,11,3,0,33,0,0,1,1,1,1,1,0,0,0,0,3,-2,0,0,1,3,0,0,Gilboa_Galil,A,8,7,Dimitris Itoudis
